Centre_ID,Centre_Title,Centre_Address,County,Maximum_Occupancy,Centre_Phone,Person_in_Charge,Person_in_Charge_Phone,Registration_Provider,Registration_Provider_Address,Registration_Provider_Phone,Registration_Date,Registration_Expiry_Date,Expiry_Date_Note,CRO_Registration_Number,Management_Contacts,Registration_Number,Chief_Inspector_Note,Registration_Conditions,URL
3,"Aisling House Nursing Home","Sea Bank, Arklow, Y14 X670",Wicklow,50,"040 233 843","Vijayalakshmi Mohanlal","040 233 843","Hussein & Jeanette Ali Limited","Sea Bank, Sea Road, Arklow, Y14 X670, Wicklow","040 233 843",05-06-2023,04-06-2026,,522266,"Samir Ali - 040 233 843, Jeanette Ali - 040 233 843, Hussein Ali - 040 233 843",REG-0037072,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated October 2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 50.",https://www.hiqa.ie/areas-we-work/find-a-centre/aisling-house-nursing-home
4,"Altadore Nursing Home","Upper Glenageary Road, Glenageary, A96 EW77",Dublin,62,"01 284 2233","Rachel Gallogly","01 284 2233","Glenageary Nursing Home Limited","The Highline, Bakers Point, Pottery Road, A96 KW29, Co. Dublin","01 675 4366",30-09-2021,29-09-2024,,687224,"Tania Spelman - 087 225 5202",REG-0038787,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received 16th January 2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 62.",https://www.hiqa.ie/areas-we-work/find-a-centre/altadore-nursing-home
113,"Alzheimer's Care Centre","Highfield Healthcare, Swords Road, Whitehall, D09 H343",Dublin,119,"01 837 4444","Memory Gara","01 837 4444","Sparantus Limited","Highfield Healthcare, Swords Road, Whitehall, D09 H343, Dublin 9","01 837 4444",24-11-2023,23-11-2026,,285998,"Stephen Eustace - 01 837 4444",REG-0042122,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 28 December 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 119.",https://www.hiqa.ie/areas-we-work/find-a-centre/alzheimers-care-centre
189,"Amberley Home and Retirement Cottages","Acres , Fermoy , P61 AP57",Cork,71,"025 40 900","Neethu Thomas","025 40 900","Amber Health Care Limited","Amberley Home and Retirement Cottages, Acres , Fermoy , P61 AP57, Cork","025 40 900",24-02-2024,23-02-2027,,69342,,REG-0038050,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plans received on 16/08/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 71.",https://www.hiqa.ie/areas-we-work/find-a-centre/amberley-home-and-retirement-cottages
309,"An Teaghlach Uilinn Nursing Home","Kilrainey, Moycullen, H91 RW96",Galway,75,"091 555 444","Alexandra Fieraru","091 555 444","Knegare Nursing Home Holdings Ltd","Talbot Lodge, 17 Kinsealy Lane, Malahide, K36 D295, Co. Dublin","01 846 2115",16-03-2020,15-03-2023,,643413,"Eileen Kirwan - 087 493 4074, Mairead Fitzgerald - 087 692 5690, Timothy Murphy - 087 283 9001",REG-0036570,,"Condition 1Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 75",https://www.hiqa.ie/areas-we-work/find-a-centre/teaghlach-uilinn-nursing-home
749,"Anam Cara Housing with Care","Anam Cara, St Canice's Road, Glasnevin, D11 FF10",Dublin,56,"01 857 2362","Maureen Mooney",8572362,"Fold Housing Association Ireland Company Limited by Guarantee","Block A, The Cresent Building, Northwood Office Campus, Santry, D09 X8W3, Dublin 9","01 822 8804",27-04-2024,26-04-2027,,357889,"Mary Cannon - 01 822 8804, Martina Conroy - 01 822 8804",REG-0038314,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose received on 20/02/2024 within the footprint of the designated centre on the floor plan received on 20/02/2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 56.",https://www.hiqa.ie/areas-we-work/find-a-centre/anam-cara-housing-care
465,"Anna Gaynor House","Our Lady’s Hospice & Care Services, Harold's Cross, D6W RY72",Dublin,89,"01 406 8700","Lisa Murphy","01 406 8826","Our Lady's Hospice and Care Services DAC","Our Lady's Hospice Ltd, Harold's Cross, D6W RY72, Dublin 6w","01 406 8700",25-01-2024,24-01-2027,,352404,,REG-0037908,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose,  received 10/11/2023,  within the footprint of the designated centre on the floor plan received 10/11/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 89.Condition 4By the 24 March 2024 all multi occupancy rooms will be reconfigured as required to achieve compliance with the Health Act 2007 (Care and Welfare of Residents in Designated Centres for Older People) Regulations 2013,  Statutory Instrument 293 and the National Standards for Residential Care Settings for Older People in Ireland 2016.",https://www.hiqa.ie/areas-we-work/find-a-centre/anna-gaynor-house
5,"Annabeg Nursing Home","Meadow Court, Ballybrack, A96 KW54",Dublin,41,"01 272 0201","Claire Johnston","01 272 0201","Costern Unlimited Company","42, North Wood Court, Northwood, Santry, D09 FN7X, Dublin 9","087 997 3226",31-10-2023,30-10-2026,,489192,"Orla Scuffil - 01 6855 170",REG-0041679,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 30 June 2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 41 .Condition 4The physical environment in the designated centre must be reconfigured as outlined in the plans submitted to the Chief Inspector on 17 August 2023. The refurbishment of the premises and development plans for the provision of adequate communal space for residents use must be complete by 31 August 2024.Condition 5 The physical environment will be reconfigured to bring bedroom 33 into compliance with regulation 17 as set out in the plans submitted to the Chief Inspector in 17 August 2023. The work should be completed by 31 December 2023.",https://www.hiqa.ie/areas-we-work/find-a-centre/annabeg-nursing-home
5191,"Anovocare Nursing Home","Stockhole Lane, Cloghran, Swords, K67 T8P0",Dublin,112,"01 563 0400","Darvin Ambas","01 563 0400","Costern Unlimited Company","42, North Wood Court, Northwood, Santry, D09 FN7X, Dublin 9","087 997 3226",07-08-2022,06-08-2025,,489192,"Orla Scuffil - 01 6855 170",REG-0039601,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 09/12/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 112.",https://www.hiqa.ie/areas-we-work/find-a-centre/anovocare-nursing-home
361,"Aperee Living Ballinasloe","Bridge Street, Ballinasloe, H53 H327",Galway,60,"090 964 6120","Asha Ratheesh","090 962 4186","Aperee Living Ballinasloe Ltd","KODC Advisory Ltd, 8 the Mall, Lucan, K78 R8N2, Co. Dublin","086 244 1741",06-02-2021,05-02-2024,,449986,"Mairead Fitzgerald - 087 692 5690",REG-0034302,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated [06/08/2020]. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 60Condition 4:The registered provider shall ensure that no new resident is admitted to the designated centre until all required works to improve fire safety are completed and the Chief Inspector has found that the registered provider is compliant with Regulation 28; Fire Precautions",https://www.hiqa.ie/areas-we-work/find-a-centre/aperee-living-ballinasloe
4452,"Aperee Living Bantry","Seafield, Bantry , P75 KT35",Cork,50,"027 52 711","Sheena Idicula Punnattusseril","027 52 711","Aperee Living Bantry Ltd","Tinakilly House, 2 Oakridge, Rathcooney, Glanmire, T23 YK25, Cork","087 811 8334",19-11-2020,18-11-2023,,532470,"Maura O'Sullivan - 086 851 6523",REG-0034128,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 20/10/2020. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 50Condition 4The registered provider shall ensure that no new resident is admitted to the designated centre  until the designated centre is brought into compliance with Regulation 28. The fire safety works in the designated centre must be completed in full prior to the admission of any new resident.",https://www.hiqa.ie/areas-we-work/find-a-centre/aperee-living-bantry
5406,"Aperee Living Camp","Knockglassmore, Camp, Tralee, V92 YY96",Kerry,34,"066 713 0267","Theresa Winter","066 713 0267","Aperee Living Camp Ltd","Tinakilly House, 2 Oakridge, Rathcooney, Glanmire, T23 YK25, Cork","087 811 8334",23-11-2022,22-11-2025,,574573,"Maura O'Sullivan - 086 851 6523",REG-0036358,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 24/05/22 The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 34.Condition 4The provider must implement an effective governance and management structure to oversee and address the fire risks outlined in their October 2021 external fire risk assessment for the centre.  All identified red and orange rated fire risks must be addressed to the satisfaction of the Chief Inspector no later than 28 February 2023",https://www.hiqa.ie/areas-we-work/find-a-centre/aperee-living-camp
266,"Aperee Living Churchtown","Churchtown, Mallow, P51 F519",Cork,50,"022 23789","Elaine Sweeney (Murphy)","022 23789","Aperee Living Churchtown Limited","Tinakilly House, 2 Oakridge, Rathcooney, Glanmire, T23 YK25, Cork","087 811 8334",20-02-2021,19-02-2024,,222736,"Maura O'Sullivan - 086 851 6523",REG-0033952,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 05 November 2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 50.Condition 4 The registered provider shall ensure that no new resident is admitted to the designated centre until all required works to improve fire safety are completed and the Chief Inspector has found that the registered provider is compliant with Regulation 28: Fire Precautions.",https://www.hiqa.ie/areas-we-work/find-a-centre/aperee-living-churchtown
4447,"Aperee Living Conna","Conna, Mallow, P51 W110",Cork,50,"058 59 876",,,"Aperee Living Conna Ltd","Tinakilly House, 2 Oakridge, Rathcooney, Glanmire, T23 YK25, Cork","087 811 8334",04-01-2022,03-01-2025,,548745,"Maura O'Sullivan - 086 851 6523",REG-0035310,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 15/09/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 50.Condition 4 By the 31 October 2023 the registered provider shall ensure that the following works to improve fire safety are completed  
•	Upgrade of ceilings of bedrooms to fire rated ceilings•	Upgrade of external escape routes to rear of building•	Servicing and/or replacement of inadequate fire doorsets and internal screens•	Upgrade of laundry room fire rating to area added to room•	Provision of passive fire protection to all ventilation outlets passing through fire rated construction",https://www.hiqa.ie/areas-we-work/find-a-centre/aperee-living-conna
331,"Aperee Living Galway","Ballinfoyle, Headford Road, H91 HD74",Galway,60,"091 762 800","Teresa Diviney-Molloy","091 762 800","Aperee Living Galway Limited","KODC Advisory Ltd, 8 the Mall, Lucan, K78 R8N2, Co. Dublin","086 244 1741",21-03-2021,20-03-2024,,488983,"Mairead Fitzgerald - 087 692 5690",REG-0034220,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 07/09/2020. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 60.Condition 4:The registered provider shall ensure that no new resident is admitted to the designated centre  until all required works to improve fire safety are completed and the Chief Inspector has found that the registered provider is compliant with Regulation 28; Fire Precautions.",https://www.hiqa.ie/areas-we-work/find-a-centre/aperee-living-galway
219,"Aperee Living Tralee","Skahanagh, Tralee, V92 AX22",Kerry,68,"066 711 9090","Michelle Griffin","066 711 9090","Aperee Living Tralee Limited","Tinakilly House, 2 Oakridge, Rathcooney, Glanmire, T23 YK25, Cork","087 811 8334",08-12-2020,07-12-2023,,377663,"Maura O'Sullivan - 086 851 6523",REG-0033919,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 10 February 2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 68",https://www.hiqa.ie/areas-we-work/find-a-centre/aperee-living-tralee
