"STATISTIC Label","Year","Age Group","Place of Occurrence","UNIT","VALUE"
"Deaths","2014","5 - 14 years","Oncology Hospitals","Number","0"
"Deaths","2014","5 - 14 years","Domiciliary","Number","20"
"Deaths","2014","5 - 14 years","Elsewhere","Number","5"
"Deaths","2014","5 - 14 years","Nursing Homes","Number","0"
"Deaths","2014","5 - 14 years","Hospices","Number","1"
"Deaths","2014","15 - 24 years","All places of occurrence","Number","207"
"Deaths","2014","15 - 24 years","General and Orthopaedic Hospitals","Number","58"
"Deaths","2014","15 - 24 years","Psychiatric Hospitals","Number","0"
"Deaths","2014","15 - 24 years","Private Hospitals","Number","7"
"Deaths","2014","15 - 24 years","Community Hospitals","Number","0"
"Deaths","2014","15 - 24 years","Maternity Hospitals","Number","0"
"Deaths","2014","15 - 24 years","Paediatric Hospitals","Number","3"
"Deaths","2014","15 - 24 years","Oncology Hospitals","Number","0"
"Deaths","2014","15 - 24 years","Domiciliary","Number","55"
"Deaths","2014","15 - 24 years","Elsewhere","Number","82"
"Deaths","2014","15 - 24 years","Nursing Homes","Number","0"
"Deaths","2014","15 - 24 years","Hospices","Number","2"
"Deaths","2014","25 - 34 years","All places of occurrence","Number","397"
"Deaths","2014","25 - 34 years","General and Orthopaedic Hospitals","Number","110"
"Deaths","2014","25 - 34 years","Psychiatric Hospitals","Number","1"
"Deaths","2014","25 - 34 years","Private Hospitals","Number","24"
"Deaths","2014","25 - 34 years","Community Hospitals","Number","1"
"Deaths","2014","25 - 34 years","Maternity Hospitals","Number","0"
"Deaths","2014","25 - 34 years","Paediatric Hospitals","Number","0"
"Deaths","2014","25 - 34 years","Oncology Hospitals","Number","0"
"Deaths","2014","25 - 34 years","Domiciliary","Number","131"
"Deaths","2014","25 - 34 years","Elsewhere","Number","98"
"Deaths","2014","25 - 34 years","Nursing Homes","Number","4"
"Deaths","2014","25 - 34 years","Hospices","Number","28"
"Deaths","2014","35 - 44 years","All places of occurrence","Number","645"
"Deaths","2014","35 - 44 years","General and Orthopaedic Hospitals","Number","216"
"Deaths","2014","35 - 44 years","Psychiatric Hospitals","Number","1"
"Deaths","2014","35 - 44 years","Private Hospitals","Number","37"
"Deaths","2014","35 - 44 years","Community Hospitals","Number","6"
"Deaths","2014","35 - 44 years","Maternity Hospitals","Number","0"
"Deaths","2014","35 - 44 years","Paediatric Hospitals","Number","0"
"Deaths","2014","35 - 44 years","Oncology Hospitals","Number","1"
"Deaths","2014","35 - 44 years","Domiciliary","Number","245"
"Deaths","2014","35 - 44 years","Elsewhere","Number","91"
"Deaths","2014","35 - 44 years","Nursing Homes","Number","5"
"Deaths","2014","35 - 44 years","Hospices","Number","43"
"Deaths","2014","45 - 54 years","All places of occurrence","Number","1352"
"Deaths","2014","45 - 54 years","General and Orthopaedic Hospitals","Number","487"
"Deaths","2014","45 - 54 years","Psychiatric Hospitals","Number","0"
"Deaths","2014","45 - 54 years","Private Hospitals","Number","80"
"Deaths","2014","45 - 54 years","Community Hospitals","Number","16"
"Deaths","2014","45 - 54 years","Maternity Hospitals","Number","0"
"Deaths","2014","45 - 54 years","Paediatric Hospitals","Number","0"
"Deaths","2014","45 - 54 years","Oncology Hospitals","Number","1"
"Deaths","2014","45 - 54 years","Domiciliary","Number","462"
"Deaths","2014","45 - 54 years","Elsewhere","Number","106"
"Deaths","2014","45 - 54 years","Nursing Homes","Number","19"
"Deaths","2014","45 - 54 years","Hospices","Number","181"
"Deaths","2014","55 - 64 years","All places of occurrence","Number","2830"
"Deaths","2014","55 - 64 years","General and Orthopaedic Hospitals","Number","1117"
"Deaths","2014","55 - 64 years","Psychiatric Hospitals","Number","0"
"Deaths","2014","55 - 64 years","Private Hospitals","Number","196"
"Deaths","2014","55 - 64 years","Community Hospitals","Number","65"
"Deaths","2014","55 - 64 years","Maternity Hospitals","Number","1"
"Deaths","2014","55 - 64 years","Paediatric Hospitals","Number","0"
"Deaths","2014","55 - 64 years","Oncology Hospitals","Number","7"
"Deaths","2014","55 - 64 years","Domiciliary","Number","887"
"Deaths","2014","55 - 64 years","Elsewhere","Number","146"
"Deaths","2014","55 - 64 years","Nursing Homes","Number","64"
"Deaths","2014","55 - 64 years","Hospices","Number","347"
"Deaths","2014","65 - 74 years","All places of occurrence","Number","5248"
"Deaths","2014","65 - 74 years","General and Orthopaedic Hospitals","Number","2239"
"Deaths","2014","65 - 74 years","Psychiatric Hospitals","Number","10"
"Deaths","2014","65 - 74 years","Private Hospitals","Number","398"
"Deaths","2014","65 - 74 years","Community Hospitals","Number","209"
"Deaths","2014","65 - 74 years","Maternity Hospitals","Number","0"
"Deaths","2014","65 - 74 years","Paediatric Hospitals","Number","0"
"Deaths","2014","65 - 74 years","Oncology Hospitals","Number","14"
"Deaths","2014","65 - 74 years","Domiciliary","Number","1434"
"Deaths","2014","65 - 74 years","Elsewhere","Number","165"
"Deaths","2014","65 - 74 years","Nursing Homes","Number","217"
"Deaths","2014","65 - 74 years","Hospices","Number","562"
"Deaths","2014","75 - 84 years","All places of occurrence","Number","8525"
"Deaths","2014","75 - 84 years","General and Orthopaedic Hospitals","Number","3614"
"Deaths","2014","75 - 84 years","Psychiatric Hospitals","Number","21"
"Deaths","2014","75 - 84 years","Private Hospitals","Number","503"
"Deaths","2014","75 - 84 years","Community Hospitals","Number","694"
"Deaths","2014","75 - 84 years","Maternity Hospitals","Number","1"
"Deaths","2014","75 - 84 years","Paediatric Hospitals","Number","1"
"Deaths","2014","75 - 84 years","Oncology Hospitals","Number","7"
"Deaths","2014","75 - 84 years","Domiciliary","Number","1780"
"Deaths","2014","75 - 84 years","Elsewhere","Number","172"
"Deaths","2014","75 - 84 years","Nursing Homes","Number","1135"
"Deaths","2014","75 - 84 years","Hospices","Number","597"
"Deaths","2014","85 years and over","All places of occurrence","Number","9726"
"Deaths","2014","85 years and over","General and Orthopaedic Hospitals","Number","3396"
"Deaths","2014","85 years and over","Psychiatric Hospitals","Number","15"
"Deaths","2014","85 years and over","Private Hospitals","Number","364"
"Deaths","2014","85 years and over","Community Hospitals","Number","1273"
"Deaths","2014","85 years and over","Maternity Hospitals","Number","1"
"Deaths","2014","85 years and over","Paediatric Hospitals","Number","0"
"Deaths","2014","85 years and over","Oncology Hospitals","Number","5"
"Deaths","2014","85 years and over","Domiciliary","Number","1748"
"Deaths","2014","85 years and over","Elsewhere","Number","196"
"Deaths","2014","85 years and over","Nursing Homes","Number","2416"
"Deaths","2014","85 years and over","Hospices","Number","312"
"Deaths","2014","All ages","All places of occurrence","Number","29252"
"Deaths","2014","All ages","General and Orthopaedic Hospitals","Number","11311"
"Deaths","2014","All ages","Psychiatric Hospitals","Number","48"
"Deaths","2014","All ages","Private Hospitals","Number","1609"
"Deaths","2014","All ages","Community Hospitals","Number","2264"
"Deaths","2014","All ages","Maternity Hospitals","Number","102"
"Deaths","2014","All ages","Paediatric Hospitals","Number","97"
"Deaths","2014","All ages","Oncology Hospitals","Number","35"
"Deaths","2014","All ages","Domiciliary","Number","6788"
"Deaths","2014","All ages","Elsewhere","Number","1064"
"Deaths","2014","All ages","Nursing Homes","Number","3860"
"Deaths","2014","All ages","Hospices","Number","2074"
"Deaths","2015","0 - 4 years","All places of occurrence","Number","257"
"Deaths","2015","0 - 4 years","General and Orthopaedic Hospitals","Number","62"
"Deaths","2015","0 - 4 years","Psychiatric Hospitals","Number","0"
"Deaths","2015","0 - 4 years","Private Hospitals","Number","0"
"Deaths","2015","0 - 4 years","Community Hospitals","Number","0"
"Deaths","2015","0 - 4 years","Maternity Hospitals","Number","112"
"Deaths","2015","0 - 4 years","Paediatric Hospitals","Number","58"
"Deaths","2015","0 - 4 years","Oncology Hospitals","Number","0"
"Deaths","2015","0 - 4 years","Domiciliary","Number","23"
"Deaths","2015","0 - 4 years","Elsewhere","Number","1"
"Deaths","2015","0 - 4 years","Nursing Homes","Number","0"
"Deaths","2015","0 - 4 years","Hospices","Number","1"
"Deaths","2015","5 - 14 years","All places of occurrence","Number","38"
"Deaths","2015","5 - 14 years","General and Orthopaedic Hospitals","Number","9"
"Deaths","2015","5 - 14 years","Psychiatric Hospitals","Number","0"
"Deaths","2015","5 - 14 years","Private Hospitals","Number","0"
"Deaths","2015","5 - 14 years","Community Hospitals","Number","0"
"Deaths","2015","5 - 14 years","Maternity Hospitals","Number","0"
"Deaths","2015","5 - 14 years","Paediatric Hospitals","Number","11"
"Deaths","2015","5 - 14 years","Oncology Hospitals","Number","0"
"Deaths","2015","5 - 14 years","Domiciliary","Number","18"
"Deaths","2015","5 - 14 years","Elsewhere","Number","0"
"Deaths","2015","5 - 14 years","Nursing Homes","Number","0"
"Deaths","2015","5 - 14 years","Hospices","Number","0"
"Deaths","2015","15 - 24 years","All places of occurrence","Number","174"
"Deaths","2015","15 - 24 years","General and Orthopaedic Hospitals","Number","66"
"Deaths","2015","15 - 24 years","Psychiatric Hospitals","Number","0"
"Deaths","2015","15 - 24 years","Private Hospitals","Number","1"
"Deaths","2015","15 - 24 years","Community Hospitals","Number","0"
"Deaths","2015","15 - 24 years","Maternity Hospitals","Number","0"
"Deaths","2015","15 - 24 years","Paediatric Hospitals","Number","3"
"Deaths","2015","15 - 24 years","Oncology Hospitals","Number","1"
"Deaths","2015","15 - 24 years","Domiciliary","Number","43"
"Deaths","2015","15 - 24 years","Elsewhere","Number","55"
"Deaths","2015","15 - 24 years","Nursing Homes","Number","0"
"Deaths","2015","15 - 24 years","Hospices","Number","5"
"Deaths","2015","25 - 34 years","All places of occurrence","Number","360"
"Deaths","2015","25 - 34 years","General and Orthopaedic Hospitals","Number","130"
"Deaths","2015","25 - 34 years","Psychiatric Hospitals","Number","1"
"Deaths","2015","25 - 34 years","Private Hospitals","Number","0"
"Deaths","2015","25 - 34 years","Community Hospitals","Number","0"
"Deaths","2015","25 - 34 years","Maternity Hospitals","Number","0"
"Deaths","2015","25 - 34 years","Paediatric Hospitals","Number","0"
"Deaths","2015","25 - 34 years","Oncology Hospitals","Number","1"
"Deaths","2015","25 - 34 years","Domiciliary","Number","131"
"Deaths","2015","25 - 34 years","Elsewhere","Number","83"
"Deaths","2015","25 - 34 years","Nursing Homes","Number","0"
"Deaths","2015","25 - 34 years","Hospices","Number","14"
"Deaths","2015","35 - 44 years","All places of occurrence","Number","635"
"Deaths","2015","35 - 44 years","General and Orthopaedic Hospitals","Number","237"
"Deaths","2015","35 - 44 years","Psychiatric Hospitals","Number","0"
"Deaths","2015","35 - 44 years","Private Hospitals","Number","9"
"Deaths","2015","35 - 44 years","Community Hospitals","Number","6"
"Deaths","2015","35 - 44 years","Maternity Hospitals","Number","0"
"Deaths","2015","35 - 44 years","Paediatric Hospitals","Number","0"
"Deaths","2015","35 - 44 years","Oncology Hospitals","Number","1"
"Deaths","2015","35 - 44 years","Domiciliary","Number","227"
"Deaths","2015","35 - 44 years","Elsewhere","Number","85"
"Deaths","2015","35 - 44 years","Nursing Homes","Number","2"
"Deaths","2015","35 - 44 years","Hospices","Number","68"
"Deaths","2015","45 - 54 years","All places of occurrence","Number","1378"
"Deaths","2015","45 - 54 years","General and Orthopaedic Hospitals","Number","546"
"Deaths","2015","45 - 54 years","Psychiatric Hospitals","Number","1"
"Deaths","2015","45 - 54 years","Private Hospitals","Number","36"
"Deaths","2015","45 - 54 years","Community Hospitals","Number","27"
"Deaths","2015","45 - 54 years","Maternity Hospitals","Number","0"
"Deaths","2015","45 - 54 years","Paediatric Hospitals","Number","0"
"Deaths","2015","45 - 54 years","Oncology Hospitals","Number","1"
"Deaths","2015","45 - 54 years","Domiciliary","Number","477"
"Deaths","2015","45 - 54 years","Elsewhere","Number","105"
"Deaths","2015","45 - 54 years","Nursing Homes","Number","8"
"Deaths","2015","45 - 54 years","Hospices","Number","177"
"Deaths","2015","55 - 64 years","All places of occurrence","Number","2787"
"Deaths","2015","55 - 64 years","General and Orthopaedic Hospitals","Number","1174"
"Deaths","2015","55 - 64 years","Psychiatric Hospitals","Number","4"
"Deaths","2015","55 - 64 years","Private Hospitals","Number","92"
"Deaths","2015","55 - 64 years","Community Hospitals","Number","58"
"Deaths","2015","55 - 64 years","Maternity Hospitals","Number","0"
"Deaths","2015","55 - 64 years","Paediatric Hospitals","Number","0"
"Deaths","2015","55 - 64 years","Oncology Hospitals","Number","6"
"Deaths","2015","55 - 64 years","Domiciliary","Number","847"
"Deaths","2015","55 - 64 years","Elsewhere","Number","148"
"Deaths","2015","55 - 64 years","Nursing Homes","Number","60"
"Deaths","2015","55 - 64 years","Hospices","Number","398"
"Deaths","2015","65 - 74 years","All places of occurrence","Number","5299"
"Deaths","2015","65 - 74 years","General and Orthopaedic Hospitals","Number","2365"
"Deaths","2015","65 - 74 years","Psychiatric Hospitals","Number","8"
"Deaths","2015","65 - 74 years","Private Hospitals","Number","197"
"Deaths","2015","65 - 74 years","Community Hospitals","Number","205"
"Deaths","2015","65 - 74 years","Maternity Hospitals","Number","0"
"Deaths","2015","65 - 74 years","Paediatric Hospitals","Number","0"
"Deaths","2015","65 - 74 years","Oncology Hospitals","Number","7"
"Deaths","2015","65 - 74 years","Domiciliary","Number","1485"
"Deaths","2015","65 - 74 years","Elsewhere","Number","130"
"Deaths","2015","65 - 74 years","Nursing Homes","Number","288"
"Deaths","2015","65 - 74 years","Hospices","Number","614"
"Deaths","2015","75 - 84 years","All places of occurrence","Number","8740"
"Deaths","2015","75 - 84 years","General and Orthopaedic Hospitals","Number","3922"
"Deaths","2015","75 - 84 years","Psychiatric Hospitals","Number","22"
"Deaths","2015","75 - 84 years","Private Hospitals","Number","276"
"Deaths","2015","75 - 84 years","Community Hospitals","Number","734"
"Deaths","2015","75 - 84 years","Maternity Hospitals","Number","0"
"Deaths","2015","75 - 84 years","Paediatric Hospitals","Number","0"
"Deaths","2015","75 - 84 years","Oncology Hospitals","Number","10"
"Deaths","2015","75 - 84 years","Domiciliary","Number","1803"
"Deaths","2015","75 - 84 years","Elsewhere","Number","132"
"Deaths","2015","75 - 84 years","Nursing Homes","Number","1190"
"Deaths","2015","75 - 84 years","Hospices","Number","651"
"Deaths","2015","85 years and over","All places of occurrence","Number","10459"
"Deaths","2015","85 years and over","General and Orthopaedic Hospitals","Number","3539"
"Deaths","2015","85 years and over","Psychiatric Hospitals","Number","36"
"Deaths","2015","85 years and over","Private Hospitals","Number","170"
"Deaths","2015","85 years and over","Community Hospitals","Number","1446"
"Deaths","2015","85 years and over","Maternity Hospitals","Number","0"
"Deaths","2015","85 years and over","Paediatric Hospitals","Number","0"
"Deaths","2015","85 years and over","Oncology Hospitals","Number","3"
"Deaths","2015","85 years and over","Domiciliary","Number","1867"
"Deaths","2015","85 years and over","Elsewhere","Number","181"
"Deaths","2015","85 years and over","Nursing Homes","Number","2860"
"Deaths","2015","85 years and over","Hospices","Number","357"
"Deaths","2015","All ages","All places of occurrence","Number","30127"
"Deaths","2015","All ages","General and Orthopaedic Hospitals","Number","12050"
"Deaths","2015","All ages","Psychiatric Hospitals","Number","72"
"Deaths","2015","All ages","Private Hospitals","Number","781"
"Deaths","2015","All ages","Community Hospitals","Number","2476"
"Deaths","2015","All ages","Maternity Hospitals","Number","112"
"Deaths","2015","All ages","Paediatric Hospitals","Number","72"
"Deaths","2015","All ages","Oncology Hospitals","Number","30"
"Deaths","2015","All ages","Domiciliary","Number","6921"
"Deaths","2015","All ages","Elsewhere","Number","920"
"Deaths","2015","All ages","Nursing Homes","Number","4408"
"Deaths","2015","All ages","Hospices","Number","2285"
"Deaths","2016","0 - 4 years","All places of occurrence","Number","225"
"Deaths","2016","0 - 4 years","General and Orthopaedic Hospitals","Number","58"
"Deaths","2016","0 - 4 years","Psychiatric Hospitals","Number","0"
"Deaths","2016","0 - 4 years","Private Hospitals","Number","0"
"Deaths","2016","0 - 4 years","Community Hospitals","Number","0"
"Deaths","2016","0 - 4 years","Maternity Hospitals","Number","88"
"Deaths","2016","0 - 4 years","Paediatric Hospitals","Number","55"
"Deaths","2016","0 - 4 years","Oncology Hospitals","Number","0"
"Deaths","2016","0 - 4 years","Domiciliary","Number","21"
"Deaths","2016","0 - 4 years","Elsewhere","Number","3"
"Deaths","2016","0 - 4 years","Nursing Homes","Number","0"
"Deaths","2016","0 - 4 years","Hospices","Number","0"
"Deaths","2016","5 - 14 years","All places of occurrence","Number","43"
"Deaths","2016","5 - 14 years","General and Orthopaedic Hospitals","Number","7"
"Deaths","2016","5 - 14 years","Psychiatric Hospitals","Number","0"
"Deaths","2016","5 - 14 years","Private Hospitals","Number","0"
"Deaths","2016","5 - 14 years","Community Hospitals","Number","0"
"Deaths","2016","5 - 14 years","Maternity Hospitals","Number","0"
"Deaths","2016","5 - 14 years","Paediatric Hospitals","Number","11"
"Deaths","2016","5 - 14 years","Oncology Hospitals","Number","0"
"Deaths","2016","5 - 14 years","Domiciliary","Number","19"
"Deaths","2016","5 - 14 years","Elsewhere","Number","4"
"Deaths","2016","5 - 14 years","Nursing Homes","Number","0"
"Deaths","2016","5 - 14 years","Hospices","Number","2"
"Deaths","2016","15 - 24 years","All places of occurrence","Number","186"
"Deaths","2016","15 - 24 years","General and Orthopaedic Hospitals","Number","76"
"Deaths","2016","15 - 24 years","Psychiatric Hospitals","Number","0"
"Deaths","2016","15 - 24 years","Private Hospitals","Number","1"
"Deaths","2016","15 - 24 years","Community Hospitals","Number","1"
"Deaths","2016","15 - 24 years","Maternity Hospitals","Number","0"
"Deaths","2016","15 - 24 years","Paediatric Hospitals","Number","4"
"Deaths","2016","15 - 24 years","Oncology Hospitals","Number","0"
"Deaths","2016","15 - 24 years","Domiciliary","Number","50"
"Deaths","2016","15 - 24 years","Elsewhere","Number","52"
"Deaths","2016","15 - 24 years","Nursing Homes","Number","1"
"Deaths","2016","15 - 24 years","Hospices","Number","1"
"Deaths","2016","25 - 34 years","All places of occurrence","Number","306"
"Deaths","2016","25 - 34 years","General and Orthopaedic Hospitals","Number","115"
"Deaths","2016","25 - 34 years","Psychiatric Hospitals","Number","0"
"Deaths","2016","25 - 34 years","Private Hospitals","Number","2"
"Deaths","2016","25 - 34 years","Community Hospitals","Number","0"
"Deaths","2016","25 - 34 years","Maternity Hospitals","Number","0"
