"Statistic Label","Census Year","Sex","Type of difficulty or condition","Extent of difficulty or condition","Type of Communal Establishment","UNIT","VALUE"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","Hospital","Number","4637"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","Defence establishment","Number","10"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","Prison","Number","372"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","1284"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Both sexes","Total persons with a disability","Great Extent","Other, including not stated","Number","676"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","All persons","Number","16105"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","Hotel","Number","1841"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","Guest house, boarding house or B&B","Number","198"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","Tourist/youth hostel or campsite","Number","140"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","Student specific accommodation","Number","963"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","Religious community","Number","660"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","1051"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","Children's home","Number","18"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","Nursing home","Number","8297"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","Hospital","Number","1779"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","Defence establishment","Number","22"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","Prison","Number","224"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","686"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","Blindness or vision impairment","Any Extent","Other, including not stated","Number","226"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","All persons","Number","13362"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","Hotel","Number","1665"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","Guest house, boarding house or B&B","Number","178"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","Tourist/youth hostel or campsite","Number","118"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","Student specific accommodation","Number","917"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","Religious community","Number","573"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","736"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","Children's home","Number","18"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","Nursing home","Number","6733"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","Hospital","Number","1464"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","Defence establishment","Number","20"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","Prison","Number","198"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","542"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","Blindness or vision impairment","Some Extent","Other, including not stated","Number","200"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","All persons","Number","2743"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Hotel","Number","176"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Guest house, boarding house or B&B","Number","20"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Tourist/youth hostel or campsite","Number","22"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Student specific accommodation","Number","46"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Religious community","Number","87"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","315"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Children's home","Number",""
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Nursing home","Number","1564"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Hospital","Number","315"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Defence establishment","Number","2"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Prison","Number","26"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","144"
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Other, including not stated","Number","26"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","All persons","Number","12909"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","Hotel","Number","1243"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","Guest house, boarding house or B&B","Number","85"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","Tourist/youth hostel or campsite","Number","46"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","Student specific accommodation","Number","97"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","Religious community","Number","962"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","590"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","Children's home","Number","11"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","Nursing home","Number","7604"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","Hospital","Number","1681"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","Defence establishment","Number","8"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","Prison","Number","126"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","329"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Any Extent","Other, including not stated","Number","127"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","All persons","Number","9777"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","Hotel","Number","1048"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","Guest house, boarding house or B&B","Number","65"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","Tourist/youth hostel or campsite","Number","39"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","Student specific accommodation","Number","78"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","Religious community","Number","781"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","405"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","Children's home","Number","4"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","Nursing home","Number","5627"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","Hospital","Number","1276"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","Defence establishment","Number","7"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","Prison","Number","100"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","251"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Some Extent","Other, including not stated","Number","96"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","All persons","Number","3132"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Hotel","Number","195"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Guest house, boarding house or B&B","Number","20"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Tourist/youth hostel or campsite","Number","7"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Student specific accommodation","Number","19"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Religious community","Number","181"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","185"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Children's home","Number","7"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Nursing home","Number","1977"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Hospital","Number","405"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Defence establishment","Number","1"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Prison","Number","26"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","78"
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","Deafness or hearing impairment","Great Extent","Other, including not stated","Number","31"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","All persons","Number","28846"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","Hotel","Number","1299"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","Guest house, boarding house or B&B","Number","133"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","Tourist/youth hostel or campsite","Number","44"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","Student specific accommodation","Number","105"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","Religious community","Number","1067"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","2622"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","Children's home","Number","8"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","Nursing home","Number","17886"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","Hospital","Number","4317"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","Defence establishment","Number","4"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","Prison","Number","178"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","845"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Both sexes","Basic physical activities","Any Extent","Other, including not stated","Number","337"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","All persons","Number","11036"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","Hotel","Number","967"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","Guest house, boarding house or B&B","Number","99"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","Tourist/youth hostel or campsite","Number","34"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","Student specific accommodation","Number","88"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","Religious community","Number","731"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","1003"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","Children's home","Number","7"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","Nursing home","Number","5352"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","Hospital","Number","1902"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","Defence establishment","Number","3"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","Prison","Number","120"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","547"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Both sexes","Basic physical activities","Some Extent","Other, including not stated","Number","182"
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","All persons","Number","17810"
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","Hotel","Number","332"
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","Guest house, boarding house or B&B","Number","34"
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","Tourist/youth hostel or campsite","Number","10"
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","Student specific accommodation","Number","17"
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","Religious community","Number","336"
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","1619"
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","Children's home","Number","1"
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","Nursing home","Number","12534"
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","Hospital","Number","2415"
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","Defence establishment","Number","1"
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","Prison","Number","58"
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","298"
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","Basic physical activities","Great Extent","Other, including not stated","Number","155"
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","All persons","Number","9396"
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","Hotel","Number","270"
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","Guest house, boarding house or B&B","Number","42"
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","Tourist/youth hostel or campsite","Number","40"
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","Student specific accommodation","Number","203"
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","Religious community","Number","85"
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","3257"
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","Children's home","Number","35"
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","Nursing home","Number","4124"
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","Hospital","Number","653"
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","Defence establishment","Number","8"
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","Prison","Number","154"
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","325"
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","An intellectual disability","Any Extent","Other, including not stated","Number","200"
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","All persons","Number","3852"
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","Hotel","Number","174"
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","Guest house, boarding house or B&B","Number","22"
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","Tourist/youth hostel or campsite","Number","23"
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","Student specific accommodation","Number","166"
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","Religious community","Number","62"
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","638"
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","Children's home","Number","23"
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","Nursing home","Number","1982"
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","Hospital","Number","349"
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","Defence establishment","Number","6"
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","Prison","Number","101"
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","206"
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","An intellectual disability","Some Extent","Other, including not stated","Number","100"
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","All persons","Number","5544"
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","Hotel","Number","96"
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","Guest house, boarding house or B&B","Number","20"
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","Tourist/youth hostel or campsite","Number","17"
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","Student specific accommodation","Number","37"
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","Religious community","Number","23"
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","2619"
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","Children's home","Number","12"
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","Nursing home","Number","2142"
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","Hospital","Number","304"
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","Defence establishment","Number","2"
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","Prison","Number","53"
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","119"
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","An intellectual disability","Great Extent","Other, including not stated","Number","100"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","All persons","Number","24654"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","Hotel","Number","872"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","Guest house, boarding house or B&B","Number","116"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","Tourist/youth hostel or campsite","Number","99"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","Student specific accommodation","Number","774"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","Religious community","Number","665"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","3192"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","Children's home","Number","66"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","Nursing home","Number","14627"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","Hospital","Number","2565"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","Defence establishment","Number","21"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","Prison","Number","339"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","886"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Any Extent","Other, including not stated","Number","431"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","All persons","Number","12021"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","Hotel","Number","705"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","Guest house, boarding house or B&B","Number","95"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","Tourist/youth hostel or campsite","Number","73"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","Student specific accommodation","Number","639"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","Religious community","Number","506"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","Residential facility for people with an intellectual and/or physical disability","Number","1114"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","Children's home","Number","49"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","Nursing home","Number","6154"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","Hospital","Number","1453"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","Defence establishment","Number","20"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","Prison","Number","252"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","Shelter or refuge (including accommodation for homeless persons)","Number","665"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","Civilian ships, boats and barges","Number","1"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Some Extent","Other, including not stated","Number","295"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","All persons","Number","12633"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Hotel","Number","167"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Guest house, boarding house or B&B","Number","21"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Tourist/youth hostel or campsite","Number","26"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Student specific accommodation","Number","135"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Religious community","Number","159"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Residential facility for people with an intellectual and/or physical disability","Number","2078"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Children's home","Number","17"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Nursing home","Number","8473"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Hospital","Number","1112"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Defence establishment","Number","1"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Prison","Number","87"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Shelter or refuge (including accommodation for homeless persons)","Number","221"
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Civilian ships, boats and barges","Number",""
"People with a disability","2022","Both sexes","Learning, remembering or concentrating","Great Extent","Other, including not stated","Number","136"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","All persons","Number","19897"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","Hotel","Number","1355"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","Guest house, boarding house or B&B","Number","202"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","Tourist/youth hostel or campsite","Number","136"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","Student specific accommodation","Number","948"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","Religious community","Number","163"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","Residential facility for people with an intellectual and/or physical disability","Number","2672"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","Children's home","Number","63"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","Nursing home","Number","9640"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","Hospital","Number","2212"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","Defence establishment","Number","9"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","Prison","Number","448"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","Shelter or refuge (including accommodation for homeless persons)","Number","1291"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","Civilian ships, boats and barges","Number","3"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Any Extent","Other, including not stated","Number","755"
"People with a disability","2022","Both sexes","Psychological or emotional condition or a mental health issue","Some Extent","All persons","Number","9850"
