Statistic Label,CensusYear,Sex,Single Year of Age,County and City,UNIT,VALUE
Population,2022,Male,86 years,Mayo,Number,204
Population,2022,Male,86 years,Offaly,Number,94
Population,2022,Male,86 years,Roscommon,Number,106
Population,2022,Male,86 years,South Dublin,Number,226
Population,2022,Male,86 years,Sligo,Number,92
Population,2022,Male,86 years,Tipperary,Number,210
Population,2022,Male,86 years,Waterford City and County,Number,168
Population,2022,Male,86 years,Westmeath,Number,111
Population,2022,Male,86 years,Wicklow,Number,161
Population,2022,Male,86 years,Wexford,Number,183
Population,2022,Male,87 years,State,Number,4515
Population,2022,Male,87 years,Cork City and Cork County,Number,555
Population,2022,Male,87 years,Clare,Number,113
Population,2022,Male,87 years,Cavan,Number,75
Population,2022,Male,87 years,Carlow,Number,57
Population,2022,Male,87 years,Dublin City,Number,509
Population,2022,Male,87 years,Donegal,Number,177
Population,2022,Male,87 years,Dún Laoghaire-Rathdown,Number,288
Population,2022,Male,87 years,Fingal,Number,185
Population,2022,Male,87 years,Galway City,Number,52
Population,2022,Male,87 years,Galway County,Number,195
Population,2022,Male,87 years,Kildare,Number,140
Population,2022,Male,87 years,Kilkenny,Number,107
Population,2022,Male,87 years,Kerry,Number,164
Population,2022,Male,87 years,Longford,Number,37
Population,2022,Male,87 years,Louth,Number,90
Population,2022,Male,87 years,Limerick City and County,Number,191
Population,2022,Male,87 years,Leitrim,Number,50
Population,2022,Male,87 years,Laois,Number,65
Population,2022,Male,87 years,Meath,Number,142
Population,2022,Male,87 years,Monaghan,Number,63
Population,2022,Male,87 years,Mayo,Number,155
Population,2022,Male,87 years,Offaly,Number,73
Population,2022,Male,87 years,Roscommon,Number,92
Population,2022,Male,87 years,South Dublin,Number,203
Population,2022,Male,87 years,Sligo,Number,91
Population,2022,Male,87 years,Tipperary,Number,161
Population,2022,Male,87 years,Waterford City and County,Number,130
Population,2022,Male,87 years,Westmeath,Number,99
Population,2022,Male,87 years,Wicklow,Number,116
Population,2022,Male,87 years,Wexford,Number,140
Population,2022,Male,88 years,State,Number,3771
Population,2022,Male,88 years,Cork City and Cork County,Number,426
Population,2022,Male,88 years,Clare,Number,114
Population,2022,Male,88 years,Cavan,Number,83
Population,2022,Male,88 years,Carlow,Number,37
Population,2022,Male,88 years,Dublin City,Number,444
Population,2022,Male,88 years,Donegal,Number,131
Population,2022,Male,88 years,Dún Laoghaire-Rathdown,Number,256
Population,2022,Male,88 years,Fingal,Number,105
Population,2022,Male,88 years,Galway City,Number,66
Population,2022,Male,88 years,Galway County,Number,176
Population,2022,Male,88 years,Kildare,Number,101
Population,2022,Male,88 years,Kilkenny,Number,77
Population,2022,Male,88 years,Kerry,Number,139
Population,2022,Male,88 years,Longford,Number,42
Population,2022,Male,88 years,Louth,Number,101
Population,2022,Male,88 years,Limerick City and County,Number,148
Population,2022,Male,88 years,Leitrim,Number,34
Population,2022,Male,88 years,Laois,Number,52
Population,2022,Male,88 years,Meath,Number,111
Population,2022,Male,88 years,Monaghan,Number,52
Population,2022,Male,88 years,Mayo,Number,154
Population,2022,Male,88 years,Offaly,Number,72
Population,2022,Male,88 years,Roscommon,Number,75
Population,2022,Male,88 years,South Dublin,Number,138
Population,2022,Male,88 years,Sligo,Number,68
Population,2022,Male,88 years,Tipperary,Number,145
Population,2022,Male,88 years,Waterford City and County,Number,108
Population,2022,Male,88 years,Westmeath,Number,69
Population,2022,Male,88 years,Wicklow,Number,94
Population,2022,Male,88 years,Wexford,Number,153
Population,2022,Male,89 years,State,Number,3036
Population,2022,Male,89 years,Cork City and Cork County,Number,342
Population,2022,Male,89 years,Clare,Number,75
Population,2022,Male,89 years,Cavan,Number,55
Population,2022,Male,89 years,Carlow,Number,32
Population,2022,Male,89 years,Dublin City,Number,354
Population,2022,Male,89 years,Donegal,Number,138
Population,2022,Male,89 years,Dún Laoghaire-Rathdown,Number,194
Population,2022,Male,89 years,Fingal,Number,141
Population,2022,Male,89 years,Galway City,Number,42
Population,2022,Male,89 years,Galway County,Number,137
Population,2022,Male,89 years,Kildare,Number,82
Population,2022,Male,89 years,Kilkenny,Number,73
Population,2022,Male,89 years,Kerry,Number,87
Population,2022,Male,89 years,Longford,Number,31
Population,2022,Male,89 years,Louth,Number,67
Population,2022,Male,89 years,Limerick City and County,Number,115
Population,2022,Male,89 years,Leitrim,Number,17
Population,2022,Male,89 years,Laois,Number,32
Population,2022,Male,89 years,Meath,Number,81
Population,2022,Male,89 years,Monaghan,Number,56
Population,2022,Male,89 years,Mayo,Number,112
Population,2022,Male,89 years,Offaly,Number,58
Population,2022,Male,89 years,Roscommon,Number,49
Population,2022,Male,89 years,South Dublin,Number,131
Population,2022,Male,89 years,Sligo,Number,53
Population,2022,Male,89 years,Tipperary,Number,141
Population,2022,Male,89 years,Waterford City and County,Number,77
Population,2022,Male,89 years,Westmeath,Number,53
Population,2022,Male,89 years,Wicklow,Number,113
Population,2022,Male,89 years,Wexford,Number,98
Population,2022,Male,90 years,State,Number,2444
Population,2022,Male,90 years,Cork City and Cork County,Number,306
Population,2022,Male,90 years,Clare,Number,68
Population,2022,Male,90 years,Cavan,Number,39
Population,2022,Male,90 years,Carlow,Number,17
Population,2022,Male,90 years,Dublin City,Number,271
Population,2022,Male,90 years,Donegal,Number,94
Population,2022,Male,90 years,Dún Laoghaire-Rathdown,Number,181
Population,2022,Male,90 years,Fingal,Number,85
Population,2022,Male,90 years,Galway City,Number,34
Population,2022,Male,90 years,Galway County,Number,111
Population,2022,Male,90 years,Kildare,Number,72
Population,2022,Male,90 years,Kilkenny,Number,49
Population,2022,Male,90 years,Kerry,Number,81
Population,2022,Male,90 years,Longford,Number,17
Population,2022,Male,90 years,Louth,Number,57
Population,2022,Male,90 years,Limerick City and County,Number,93
Population,2022,Male,90 years,Leitrim,Number,28
Population,2022,Male,90 years,Laois,Number,26
Population,2022,Male,90 years,Meath,Number,67
Population,2022,Male,90 years,Monaghan,Number,32
Population,2022,Male,90 years,Mayo,Number,99
Population,2022,Male,90 years,Offaly,Number,44
Population,2022,Male,90 years,Roscommon,Number,49
Population,2022,Male,90 years,South Dublin,Number,121
Population,2022,Male,90 years,Sligo,Number,45
Population,2022,Male,90 years,Tipperary,Number,99
Population,2022,Male,90 years,Waterford City and County,Number,78
Population,2022,Male,90 years,Westmeath,Number,39
Population,2022,Male,90 years,Wicklow,Number,64
Population,2022,Male,90 years,Wexford,Number,78
Population,2022,Male,91 years,State,Number,1950
Population,2022,Male,91 years,Cork City and Cork County,Number,243
Population,2022,Male,91 years,Clare,Number,49
Population,2022,Male,91 years,Cavan,Number,36
Population,2022,Male,91 years,Carlow,Number,27
Population,2022,Male,91 years,Dublin City,Number,244
Population,2022,Male,91 years,Donegal,Number,71
Population,2022,Male,91 years,Dún Laoghaire-Rathdown,Number,128
Population,2022,Male,91 years,Fingal,Number,58
Population,2022,Male,91 years,Galway City,Number,34
Population,2022,Male,91 years,Galway County,Number,74
Population,2022,Male,91 years,Kildare,Number,51
Population,2022,Male,91 years,Kilkenny,Number,45
Population,2022,Male,91 years,Kerry,Number,76
Population,2022,Male,91 years,Longford,Number,11
Population,2022,Male,91 years,Louth,Number,37
Population,2022,Male,91 years,Limerick City and County,Number,69
Population,2022,Male,91 years,Leitrim,Number,21
Population,2022,Male,91 years,Laois,Number,40
Population,2022,Male,91 years,Meath,Number,56
Population,2022,Male,91 years,Monaghan,Number,19
Population,2022,Male,91 years,Mayo,Number,69
Population,2022,Male,91 years,Offaly,Number,29
Population,2022,Male,91 years,Roscommon,Number,40
Population,2022,Male,91 years,South Dublin,Number,91
Population,2022,Male,91 years,Sligo,Number,30
Population,2022,Male,91 years,Tipperary,Number,80
Population,2022,Male,91 years,Waterford City and County,Number,63
Population,2022,Male,91 years,Westmeath,Number,36
Population,2022,Male,91 years,Wicklow,Number,61
Population,2022,Male,91 years,Wexford,Number,62
Population,2022,Male,92 years,State,Number,1297
Population,2022,Male,92 years,Cork City and Cork County,Number,153
Population,2022,Male,92 years,Clare,Number,28
Population,2022,Male,92 years,Cavan,Number,15
Population,2022,Male,92 years,Carlow,Number,14
Population,2022,Male,92 years,Dublin City,Number,169
Population,2022,Male,92 years,Donegal,Number,54
Population,2022,Male,92 years,Dún Laoghaire-Rathdown,Number,93
Population,2022,Male,92 years,Fingal,Number,42
Population,2022,Male,92 years,Galway City,Number,19
Population,2022,Male,92 years,Galway County,Number,59
Population,2022,Male,92 years,Kildare,Number,41
Population,2022,Male,92 years,Kilkenny,Number,25
Population,2022,Male,92 years,Kerry,Number,40
Population,2022,Male,92 years,Longford,Number,7
Population,2022,Male,92 years,Louth,Number,34
Population,2022,Male,92 years,Limerick City and County,Number,47
Population,2022,Male,92 years,Leitrim,Number,12
Population,2022,Male,92 years,Laois,Number,17
Population,2022,Male,92 years,Meath,Number,41
Population,2022,Male,92 years,Monaghan,Number,22
Population,2022,Male,92 years,Mayo,Number,44
Population,2022,Male,92 years,Offaly,Number,25
Population,2022,Male,92 years,Roscommon,Number,22
Population,2022,Male,92 years,South Dublin,Number,50
Population,2022,Male,92 years,Sligo,Number,16
Population,2022,Male,92 years,Tipperary,Number,68
Population,2022,Male,92 years,Waterford City and County,Number,33
Population,2022,Male,92 years,Westmeath,Number,29
Population,2022,Male,92 years,Wicklow,Number,33
Population,2022,Male,92 years,Wexford,Number,45
Population,2022,Male,93 years,State,Number,937
Population,2022,Male,93 years,Cork City and Cork County,Number,102
Population,2022,Male,93 years,Clare,Number,20
Population,2022,Male,93 years,Cavan,Number,15
Population,2022,Male,93 years,Carlow,Number,4
Population,2022,Male,93 years,Dublin City,Number,125
Population,2022,Male,93 years,Donegal,Number,41
Population,2022,Male,93 years,Dún Laoghaire-Rathdown,Number,68
Population,2022,Male,93 years,Fingal,Number,38
Population,2022,Male,93 years,Galway City,Number,10
Population,2022,Male,93 years,Galway County,Number,38
Population,2022,Male,93 years,Kildare,Number,33
Population,2022,Male,93 years,Kilkenny,Number,21
Population,2022,Male,93 years,Kerry,Number,35
Population,2022,Male,93 years,Longford,Number,6
Population,2022,Male,93 years,Louth,Number,25
Population,2022,Male,93 years,Limerick City and County,Number,34
Population,2022,Male,93 years,Leitrim,Number,10
Population,2022,Male,93 years,Laois,Number,17
Population,2022,Male,93 years,Meath,Number,34
Population,2022,Male,93 years,Monaghan,Number,16
Population,2022,Male,93 years,Mayo,Number,29
Population,2022,Male,93 years,Offaly,Number,9
Population,2022,Male,93 years,Roscommon,Number,20
Population,2022,Male,93 years,South Dublin,Number,31
Population,2022,Male,93 years,Sligo,Number,16
Population,2022,Male,93 years,Tipperary,Number,45
Population,2022,Male,93 years,Waterford City and County,Number,25
Population,2022,Male,93 years,Westmeath,Number,16
Population,2022,Male,93 years,Wicklow,Number,20
Population,2022,Male,93 years,Wexford,Number,34
Population,2022,Male,94 years,State,Number,718
Population,2022,Male,94 years,Cork City and Cork County,Number,60
Population,2022,Male,94 years,Clare,Number,14
Population,2022,Male,94 years,Cavan,Number,12
Population,2022,Male,94 years,Carlow,Number,6
Population,2022,Male,94 years,Dublin City,Number,98
Population,2022,Male,94 years,Donegal,Number,26
Population,2022,Male,94 years,Dún Laoghaire-Rathdown,Number,65
Population,2022,Male,94 years,Fingal,Number,24
Population,2022,Male,94 years,Galway City,Number,9
Population,2022,Male,94 years,Galway County,Number,39
Population,2022,Male,94 years,Kildare,Number,25
Population,2022,Male,94 years,Kilkenny,Number,19
Population,2022,Male,94 years,Kerry,Number,22
Population,2022,Male,94 years,Longford,Number,7
Population,2022,Male,94 years,Louth,Number,11
Population,2022,Male,94 years,Limerick City and County,Number,24
Population,2022,Male,94 years,Leitrim,Number,8
Population,2022,Male,94 years,Laois,Number,8
Population,2022,Male,94 years,Meath,Number,20
Population,2022,Male,94 years,Monaghan,Number,9
Population,2022,Male,94 years,Mayo,Number,28
Population,2022,Male,94 years,Offaly,Number,20
Population,2022,Male,94 years,Roscommon,Number,23
Population,2022,Male,94 years,South Dublin,Number,28
Population,2022,Male,94 years,Sligo,Number,12
Population,2022,Male,94 years,Tipperary,Number,28
Population,2022,Male,94 years,Waterford City and County,Number,17
Population,2022,Male,94 years,Westmeath,Number,11
Population,2022,Male,94 years,Wicklow,Number,23
Population,2022,Male,94 years,Wexford,Number,22
Population,2022,Male,95 years,State,Number,482
Population,2022,Male,95 years,Cork City and Cork County,Number,56
Population,2022,Male,95 years,Clare,Number,13
Population,2022,Male,95 years,Cavan,Number,8
Population,2022,Male,95 years,Carlow,Number,2
Population,2022,Male,95 years,Dublin City,Number,71
Population,2022,Male,95 years,Donegal,Number,28
Population,2022,Male,95 years,Dún Laoghaire-Rathdown,Number,40
Population,2022,Male,95 years,Fingal,Number,14
Population,2022,Male,95 years,Galway City,Number,4
Population,2022,Male,95 years,Galway County,Number,29
Population,2022,Male,95 years,Kildare,Number,14
Population,2022,Male,95 years,Kilkenny,Number,8
Population,2022,Male,95 years,Kerry,Number,10
Population,2022,Male,95 years,Longford,Number,1
Population,2022,Male,95 years,Louth,Number,11
Population,2022,Male,95 years,Limerick City and County,Number,18
Population,2022,Male,95 years,Leitrim,Number,7
Population,2022,Male,95 years,Laois,Number,5
Population,2022,Male,95 years,Meath,Number,19
Population,2022,Male,95 years,Monaghan,Number,1
Population,2022,Male,95 years,Mayo,Number,12
Population,2022,Male,95 years,Offaly,Number,8
Population,2022,Male,95 years,Roscommon,Number,8
Population,2022,Male,95 years,South Dublin,Number,23
Population,2022,Male,95 years,Sligo,Number,5
Population,2022,Male,95 years,Tipperary,Number,21
Population,2022,Male,95 years,Waterford City and County,Number,4
Population,2022,Male,95 years,Westmeath,Number,12
Population,2022,Male,95 years,Wicklow,Number,15
Population,2022,Male,95 years,Wexford,Number,15
Population,2022,Male,96 years,State,Number,327
Population,2022,Male,96 years,Cork City and Cork County,Number,29
Population,2022,Male,96 years,Clare,Number,12
Population,2022,Male,96 years,Cavan,Number,7
Population,2022,Male,96 years,Carlow,Number,3
Population,2022,Male,96 years,Dublin City,Number,58
Population,2022,Male,96 years,Donegal,Number,14
Population,2022,Male,96 years,Dún Laoghaire-Rathdown,Number,34
Population,2022,Male,96 years,Fingal,Number,16
Population,2022,Male,96 years,Galway City,Number,3
Population,2022,Male,96 years,Galway County,Number,7
Population,2022,Male,96 years,Kildare,Number,8
Population,2022,Male,96 years,Kilkenny,Number,9
Population,2022,Male,96 years,Kerry,Number,9
Population,2022,Male,96 years,Longford,Number,3
Population,2022,Male,96 years,Louth,Number,5
Population,2022,Male,96 years,Limerick City and County,Number,14
Population,2022,Male,96 years,Leitrim,Number,0
Population,2022,Male,96 years,Laois,Number,1
Population,2022,Male,96 years,Meath,Number,9
Population,2022,Male,96 years,Monaghan,Number,3
Population,2022,Male,96 years,Mayo,Number,10
Population,2022,Male,96 years,Offaly,Number,8
Population,2022,Male,96 years,Roscommon,Number,9
Population,2022,Male,96 years,South Dublin,Number,7
Population,2022,Male,96 years,Sligo,Number,7
Population,2022,Male,96 years,Tipperary,Number,7
Population,2022,Male,96 years,Waterford City and County,Number,7
Population,2022,Male,96 years,Westmeath,Number,7
Population,2022,Male,96 years,Wicklow,Number,12
Population,2022,Male,96 years,Wexford,Number,9
Population,2022,Male,97 years,State,Number,217
Population,2022,Male,97 years,Cork City and Cork County,Number,27
Population,2022,Male,97 years,Clare,Number,11
Population,2022,Male,97 years,Cavan,Number,3
Population,2022,Male,97 years,Carlow,Number,2
Population,2022,Male,97 years,Dublin City,Number,28
Population,2022,Male,97 years,Donegal,Number,6
Population,2022,Male,97 years,Dún Laoghaire-Rathdown,Number,14
Population,2022,Male,97 years,Fingal,Number,11
Population,2022,Male,97 years,Galway City,Number,2
Population,2022,Male,97 years,Galway County,Number,8
Population,2022,Male,97 years,Kildare,Number,7
Population,2022,Male,97 years,Kilkenny,Number,5
Population,2022,Male,97 years,Kerry,Number,13
Population,2022,Male,97 years,Longford,Number,2
Population,2022,Male,97 years,Louth,Number,5
Population,2022,Male,97 years,Limerick City and County,Number,9
Population,2022,Male,97 years,Leitrim,Number,3
Population,2022,Male,97 years,Laois,Number,2
Population,2022,Male,97 years,Meath,Number,6
Population,2022,Male,97 years,Monaghan,Number,0
Population,2022,Male,97 years,Mayo,Number,10
Population,2022,Male,97 years,Offaly,Number,3
Population,2022,Male,97 years,Roscommon,Number,1
Population,2022,Male,97 years,South Dublin,Number,9
Population,2022,Male,97 years,Sligo,Number,4
Population,2022,Male,97 years,Tipperary,Number,6
Population,2022,Male,97 years,Waterford City and County,Number,5
Population,2022,Male,97 years,Westmeath,Number,5
Population,2022,Male,97 years,Wicklow,Number,4
Population,2022,Male,97 years,Wexford,Number,6
Population,2022,Male,98 years,State,Number,130
Population,2022,Male,98 years,Cork City and Cork County,Number,10
Population,2022,Male,98 years,Clare,Number,3
Population,2022,Male,98 years,Cavan,Number,1
Population,2022,Male,98 years,Carlow,Number,2
Population,2022,Male,98 years,Dublin City,Number,24
Population,2022,Male,98 years,Donegal,Number,4
Population,2022,Male,98 years,Dún Laoghaire-Rathdown,Number,10
Population,2022,Male,98 years,Fingal,Number,3
Population,2022,Male,98 years,Galway City,Number,1
Population,2022,Male,98 years,Galway County,Number,5
Population,2022,Male,98 years,Kildare,Number,3
Population,2022,Male,98 years,Kilkenny,Number,2
Population,2022,Male,98 years,Kerry,Number,4
Population,2022,Male,98 years,Longford,Number,0
Population,2022,Male,98 years,Louth,Number,3
Population,2022,Male,98 years,Limerick City and County,Number,9
Population,2022,Male,98 years,Leitrim,Number,1
Population,2022,Male,98 years,Laois,Number,4
Population,2022,Male,98 years,Meath,Number,3
Population,2022,Male,98 years,Monaghan,Number,2
Population,2022,Male,98 years,Mayo,Number,9
Population,2022,Male,98 years,Offaly,Number,1
Population,2022,Male,98 years,Roscommon,Number,1
Population,2022,Male,98 years,South Dublin,Number,4
Population,2022,Male,98 years,Sligo,Number,1
Population,2022,Male,98 years,Tipperary,Number,5
Population,2022,Male,98 years,Waterford City and County,Number,4
Population,2022,Male,98 years,Westmeath,Number,3
Population,2022,Male,98 years,Wicklow,Number,4
Population,2022,Male,98 years,Wexford,Number,4
Population,2022,Male,99 years,State,Number,105
Population,2022,Male,99 years,Cork City and Cork County,Number,12
Population,2022,Male,99 years,Clare,Number,3
Population,2022,Male,99 years,Cavan,Number,0
Population,2022,Male,99 years,Carlow,Number,1
Population,2022,Male,99 years,Dublin City,Number,15
Population,2022,Male,99 years,Donegal,Number,5
Population,2022,Male,99 years,Dún Laoghaire-Rathdown,Number,6
Population,2022,Male,99 years,Fingal,Number,2
Population,2022,Male,99 years,Galway City,Number,3
Population,2022,Male,99 years,Galway County,Number,6
Population,2022,Male,99 years,Kildare,Number,1
Population,2022,Male,99 years,Kilkenny,Number,4
Population,2022,Male,99 years,Kerry,Number,3
Population,2022,Male,99 years,Longford,Number,1
Population,2022,Male,99 years,Louth,Number,1
Population,2022,Male,99 years,Limerick City and County,Number,6
Population,2022,Male,99 years,Leitrim,Number,0
Population,2022,Male,99 years,Laois,Number,0
Population,2022,Male,99 years,Meath,Number,3
Population,2022,Male,99 years,Monaghan,Number,0
Population,2022,Male,99 years,Mayo,Number,2
Population,2022,Male,99 years,Offaly,Number,0
Population,2022,Male,99 years,Roscommon,Number,3
Population,2022,Male,99 years,South Dublin,Number,7
Population,2022,Male,99 years,Sligo,Number,2
Population,2022,Male,99 years,Tipperary,Number,5
Population,2022,Male,99 years,Waterford City and County,Number,4
Population,2022,Male,99 years,Westmeath,Number,3
Population,2022,Male,99 years,Wicklow,Number,1
Population,2022,Male,99 years,Wexford,Number,6
Population,2022,Male,100 years and over,State,Number,154
Population,2022,Male,100 years and over,Cork City and Cork County,Number,17
Population,2022,Male,100 years and over,Clare,Number,3
Population,2022,Male,100 years and over,Cavan,Number,6
Population,2022,Male,100 years and over,Carlow,Number,0
Population,2022,Male,100 years and over,Dublin City,Number,20
Population,2022,Male,100 years and over,Donegal,Number,2
Population,2022,Male,100 years and over,Dún Laoghaire-Rathdown,Number,13
Population,2022,Male,100 years and over,Fingal,Number,4
Population,2022,Male,100 years and over,Galway City,Number,3
Population,2022,Male,100 years and over,Galway County,Number,16
Population,2022,Male,100 years and over,Kildare,Number,6
Population,2022,Male,100 years and over,Kilkenny,Number,6
Population,2022,Male,100 years and over,Kerry,Number,2
Population,2022,Male,100 years and over,Longford,Number,1
Population,2022,Male,100 years and over,Louth,Number,5
Population,2022,Male,100 years and over,Limerick City and County,Number,7
Population,2022,Male,100 years and over,Leitrim,Number,0
Population,2022,Male,100 years and over,Laois,Number,0
Population,2022,Male,100 years and over,Meath,Number,4
Population,2022,Male,100 years and over,Monaghan,Number,1
Population,2022,Male,100 years and over,Mayo,Number,6
Population,2022,Male,100 years and over,Offaly,Number,1
Population,2022,Male,100 years and over,Roscommon,Number,5
Population,2022,Male,100 years and over,South Dublin,Number,7
Population,2022,Male,100 years and over,Sligo,Number,3
Population,2022,Male,100 years and over,Tipperary,Number,4
Population,2022,Male,100 years and over,Waterford City and County,Number,4
Population,2022,Male,100 years and over,Westmeath,Number,3
Population,2022,Male,100 years and over,Wicklow,Number,3
Population,2022,Male,100 years and over,Wexford,Number,2
Population,2022,Female,All ages,State,Number,2604590
Population,2022,Female,All ages,Cork City and Cork County,Number,295311
Population,2022,Female,All ages,Clare,Number,65021
Population,2022,Female,All ages,Cavan,Number,40644
Population,2022,Female,All ages,Carlow,Number,31146
Population,2022,Female,All ages,Dublin City,Number,300917
Population,2022,Female,All ages,Donegal,Number,84289
Population,2022,Female,All ages,Dún Laoghaire-Rathdown,Number,121828
Population,2022,Female,All ages,Fingal,Number,167974
Population,2022,Female,All ages,Galway City,Number,44000
Population,2022,Female,All ages,Galway County,Number,96803
Population,2022,Female,All ages,Kildare,Number,124510
Population,2022,Female,All ages,Kilkenny,Number,52277
Population,2022,Female,All ages,Kerry,Number,79071
Population,2022,Female,All ages,Longford,Number,23302
Population,2022,Female,All ages,Louth,Number,70796
Population,2022,Female,All ages,Limerick City and County,Number,105084
Population,2022,Female,All ages,Leitrim,Number,17646
Population,2022,Female,All ages,Laois,Number,45599
Population,2022,Female,All ages,Meath,Number,110838
Population,2022,Female,All ages,Monaghan,Number,32394
Population,2022,Female,All ages,Mayo,Number,69578
Population,2022,Female,All ages,Offaly,Number,41522
Population,2022,Female,All ages,Roscommon,Number,35089
Population,2022,Female,All ages,South Dublin,Number,153829
Population,2022,Female,All ages,Sligo,Number,35669
Population,2022,Female,All ages,Tipperary,Number,84256
Population,2022,Female,All ages,Waterford City and County,Number,64268
Population,2022,Female,All ages,Westmeath,Number,48500
Population,2022,Female,All ages,Wicklow,Number,79287
Population,2022,Female,All ages,Wexford,Number,83142
Population,2022,Female,Under 1 year,State,Number,28186
Population,2022,Female,Under 1 year,Cork City and Cork County,Number,3179
Population,2022,Female,Under 1 year,Clare,Number,691
Population,2022,Female,Under 1 year,Cavan,Number,501
Population,2022,Female,Under 1 year,Carlow,Number,353
Population,2022,Female,Under 1 year,Dublin City,Number,3025
Population,2022,Female,Under 1 year,Donegal,Number,881
Population,2022,Female,Under 1 year,Dún Laoghaire-Rathdown,Number,1188
Population,2022,Female,Under 1 year,Fingal,Number,1950
Population,2022,Female,Under 1 year,Galway City,Number,387
Population,2022,Female,Under 1 year,Galway County,Number,1073
Population,2022,Female,Under 1 year,Kildare,Number,1455
Population,2022,Female,Under 1 year,Kilkenny,Number,553
Population,2022,Female,Under 1 year,Kerry,Number,843
Population,2022,Female,Under 1 year,Longford,Number,270
Population,2022,Female,Under 1 year,Louth,Number,848
Population,2022,Female,Under 1 year,Limerick City and County,Number,1049
Population,2022,Female,Under 1 year,Leitrim,Number,204
Population,2022,Female,Under 1 year,Laois,Number,545
Population,2022,Female,Under 1 year,Meath,Number,1368
Population,2022,Female,Under 1 year,Monaghan,Number,423
Population,2022,Female,Under 1 year,Mayo,Number,730
Population,2022,Female,Under 1 year,Offaly,Number,454
Population,2022,Female,Under 1 year,Roscommon,Number,366
Population,2022,Female,Under 1 year,South Dublin,Number,1689
Population,2022,Female,Under 1 year,Sligo,Number,367
Population,2022,Female,Under 1 year,Tipperary,Number,915
Population,2022,Female,Under 1 year,Waterford City and County,Number,662
Population,2022,Female,Under 1 year,Westmeath,Number,535
Population,2022,Female,Under 1 year,Wicklow,Number,800
Population,2022,Female,Under 1 year,Wexford,Number,882
Population,2022,Female,1 year,State,Number,27545
Population,2022,Female,1 year,Cork City and Cork County,Number,3181
Population,2022,Female,1 year,Clare,Number,704
Population,2022,Female,1 year,Cavan,Number,477
Population,2022,Female,1 year,Carlow,Number,302
Population,2022,Female,1 year,Dublin City,Number,2762
Population,2022,Female,1 year,Donegal,Number,918
Population,2022,Female,1 year,Dún Laoghaire-Rathdown,Number,1192
Population,2022,Female,1 year,Fingal,Number,1907
Population,2022,Female,1 year,Galway City,Number,395
Population,2022,Female,1 year,Galway County,Number,1082
Population,2022,Female,1 year,Kildare,Number,1452
Population,2022,Female,1 year,Kilkenny,Number,545
Population,2022,Female,1 year,Kerry,Number,739
Population,2022,Female,1 year,Longford,Number,238
Population,2022,Female,1 year,Louth,Number,722
Population,2022,Female,1 year,Limerick City and County,Number,1087
Population,2022,Female,1 year,Leitrim,Number,202
Population,2022,Female,1 year,Laois,Number,491
Population,2022,Female,1 year,Meath,Number,1235
Population,2022,Female,1 year,Monaghan,Number,386
Population,2022,Female,1 year,Mayo,Number,790
Population,2022,Female,1 year,Offaly,Number,446
Population,2022,Female,1 year,Roscommon,Number,384
Population,2022,Female,1 year,South Dublin,Number,1751
Population,2022,Female,1 year,Sligo,Number,383
Population,2022,Female,1 year,Tipperary,Number,872
Population,2022,Female,1 year,Waterford City and County,Number,602
Population,2022,Female,1 year,Westmeath,Number,602
Population,2022,Female,1 year,Wicklow,Number,820
Population,2022,Female,1 year,Wexford,Number,878
Population,2022,Female,2 years,State,Number,28974
Population,2022,Female,2 years,Cork City and Cork County,Number,3268
Population,2022,Female,2 years,Clare,Number,744
Population,2022,Female,2 years,Cavan,Number,520
Population,2022,Female,2 years,Carlow,Number,334
Population,2022,Female,2 years,Dublin City,Number,2795
Population,2022,Female,2 years,Donegal,Number,983
Population,2022,Female,2 years,Dún Laoghaire-Rathdown,Number,1238
Population,2022,Female,2 years,Fingal,Number,2112
Population,2022,Female,2 years,Galway City,Number,386
Population,2022,Female,2 years,Galway County,Number,1161
Population,2022,Female,2 years,Kildare,Number,1559
Population,2022,Female,2 years,Kilkenny,Number,559
Population,2022,Female,2 years,Kerry,Number,803
Population,2022,Female,2 years,Longford,Number,243
Population,2022,Female,2 years,Louth,Number,793
Population,2022,Female,2 years,Limerick City and County,Number,1130
Population,2022,Female,2 years,Leitrim,Number,229
Population,2022,Female,2 years,Laois,Number,564
Population,2022,Female,2 years,Meath,Number,1388
Population,2022,Female,2 years,Monaghan,Number,436
Population,2022,Female,2 years,Mayo,Number,731
Population,2022,Female,2 years,Offaly,Number,456
Population,2022,Female,2 years,Roscommon,Number,428
Population,2022,Female,2 years,South Dublin,Number,1867
Population,2022,Female,2 years,Sligo,Number,360
Population,2022,Female,2 years,Tipperary,Number,879
Population,2022,Female,2 years,Waterford City and County,Number,665
Population,2022,Female,2 years,Westmeath,Number,532
Population,2022,Female,2 years,Wicklow,Number,890
Population,2022,Female,2 years,Wexford,Number,921
Population,2022,Female,3 years,State,Number,29483
Population,2022,Female,3 years,Cork City and Cork County,Number,3283
Population,2022,Female,3 years,Clare,Number,745
Population,2022,Female,3 years,Cavan,Number,525
Population,2022,Female,3 years,Carlow,Number,378
Population,2022,Female,3 years,Dublin City,Number,2705
Population,2022,Female,3 years,Donegal,Number,1044
Population,2022,Female,3 years,Dún Laoghaire-Rathdown,Number,1309
Population,2022,Female,3 years,Fingal,Number,2161
